code,genus,species,family,abundance
ABARJU,Abarema,jupunba,Fabaceae-mimosoideae,22
ABARLA,Abarema,laeta,Fabaceae-mimosoideae,95
ABUTGR,Abuta,grandifolia,Menispermaceae,253
ACALCU,Acalypha,cuneata,Euphorbiaceae,496
ACALSD,Acalypha,sharpdent,Euphorbiaceae,61
ACALSH,Acalypha,sharpub,Euphorbiaceae,22
ACANAN,Acanthosyris,annonagustata,Santalaceae,7
ACIDNI,Acidoton,nicaraguensis,Euphorbiaceae,1348
AEGICO,Aegiphila,cordifolia_var.villos,Verbenaceae,69
AEGIEL,Aegiphila,elegans,Verbenaceae,4
AEGIHA,Aegiphila,haughtii,Verbenaceae,92
AEGIIN,Aegiphila,integrifolia,Verbenaceae,8
AEGIME,Aegiphila,memboscu,Verbenaceae,17
AGONPE,Agonandra,peruviana,Opiliaceae,31
AGONSI,Agonandra,silvatica,Opiliaceae,22
AIOUGR,Aiouea,grandifolia,Lauraceae,4
AIOUSP,Aiouea,sp.nov.,Lauraceae,9
AIPHUL,Aiphanes,ulei,Arecaceae,353
ALBINI,Albizia,niopoides,Fabaceae-mimosoideae,25
ALC1GL,Alchornea,glandulosa,Euphorbiaceae,2
ALC1TR,Alchornea,triplinervia,Euphorbiaceae,200
ALCHSC,Alchornea,schomburkii_cf.,Euphorbiaceae,1
ALC2FL,Alchorneopsis,floribunda,Euphorbiaceae,69
ALIBIS,Alibertia,isernii,Rubiaceae,44
ALIBJO,Alibertia,jorge,Rubiaceae,21
ALIBLA,Alibertia,lance,Rubiaceae,52
ALIBPE,Alibertia,pelitos,Rubiaceae,14
ALIBPI,Alibertia,pilosa,Rubiaceae,22
ALLOAM,Allophylus,amazonicus,Sapindaceae,29
ALLOGL,Allophylus,glabra,Sapindaceae,175
ALLOPI,Allophylus,pilosus,Sapindaceae,81
ALLOPU,Allophylus,punctatus,Sapindaceae,2
ALLOSC,Allophylus,divaricatus,Sapindaceae,34
ALSELU,Alseis,lugonis_cf.,Rubiaceae,217
ALSOCU,Alsophila,cuspidata,Cyatheaceae,8
AMPEED,Ampelocera,edentula,Ulmaceae,136
AMPELO,Ampelocera,longissima,Ulmaceae,25
AMYRMA,Amyris,macrocarpa,Rutaceae,14
ANAXBR,Anaxagorea,brevipes,Annonaceae,42
ANDIIN,Andira,inermis,Fabaceae-papilionoideae,41
ANDIMA,Andira,macrothyrsa,Fabaceae-papilionoideae,5
ANDIMU,Andira,multistipula,Fabaceae-papilionoideae,5
ANDISP,Andira,sp.nov.,Fabaceae-papilionoideae,5
ANIBAN,Aniba,angulopepper,Lauraceae,95
ANIBGU,Aniba,guianensis,Lauraceae,151
ANIBHO,Aniba,hostmanniana,Lauraceae,295
ANIBRI,Aniba,riparia,Lauraceae,255
ANIBTA,Aniba,taubertiana,Lauraceae,14
ANNOAM,Annona,ambotay,Annonaceae,40
ANNODU,Annona,duckei,Annonaceae,25
ANNOMO,Annona,mosaic,Annonaceae,6
ANTHAM,Anthodiscus,amazonicus,Caryocaraceae,12
APARCO,Aparisthmium,cordatum,Euphorbiaceae,481
APEIME,Apeiba,membranacea,Tiliaceae,453
APEITI,Apeiba,tibourbou,Tiliaceae,2
APHECR,Aphelandra,crispata,Acanthaceae,64
APTATU,Aptandra,tubicina,Olacaceae,51
APULLE,Apuleia,leiocarpa,Fabaceae,17
ARDIDE,Ardisia,densapunta,Myrsinaceae,51
ARDISE,Ardisia,semibulada,Myrsinaceae,90
ASPIBL,Aspidosperma,blancimpreso,Apocynaceae,7
ASPIME,Aspidosperma,megalocarpon,Apocynaceae,10
ASPIRI,Aspidosperma,rigidum,Apocynaceae,48
ASPISP,Aspidosperma,spruceanum,Apocynaceae,6
ASTCCH,Astrocaryum,chambira,Arecaceae,97
ASTCMU,Astrocaryum,murumuru,Arecaceae,83
ASTRGR,Astronium,graveolens,Anacardiaceae,62
ATTAMA,Attalea,maripa,Arecaceae,1
BACTCO,Bactris,corossilla,Arecaceae,40
BACTMA,Bactris,maraja_sp.juruensis,Arecaceae,10
BACTMM,Bactris,maraja_sp.maraja,Arecaceae,83
BACTSI,Bactris,simplicifrons,Arecaceae,17
BANANI,Banara,nitida,Flacourtiaceae,6
BATOAM,Batocarpus,amazonicus,Moraceae,8
BATOCO,Batocarpus,costaricensis,Moraceae,5
BATOOR,Batocarpus,orinocensis,Moraceae,136
BAUHBR,Bauhinia,brachycalyx,Fabaceae-caesalpinioideae,198
BEILPE,Beilschmiedia,pendula,Lauraceae,42
BELLPE,Bellucia,pentamera,Melastomataceae,30
BERTGU,Bertiera,guianensis,Rubiaceae,22
BESLQU,Besleria,quadrangulata,Gesneriaceae,100
BLAKRO,Blakea,rosea,Melastomataceae,2
BOROAX,Borojoa,axiglab,Rubiaceae,94
BOROCL,Borojoa,claviflora,Rubiaceae,180
BROSAC,Brosimum,acutifolium,Moraceae,9
BROSGU,Brosimum,guianense,Moraceae,117
BROSLA,Brosimum,lactescens,Moraceae,58
BROSPO,Brosimum,potabile,Moraceae,1
BROSUT,Brosimum,utile,Moraceae,80
BROWGR,Brownea,grandiceps,Fabaceae,2170
BROWRO,Brownea,rosada,Fabaceae,1
BROWSP,Brownea,sp.nov.,Fabaceae,489
BRUNCH,Brunfelsia,chiricaspi,Solanaceae,2
BUCHCO,Buchenavia,congesta,Combretaceae,16
BUCHGR,Buchenavia,grandis,Combretaceae,36
BUCHMA,Buchenavia,macrophylla,Combretaceae,9
BUCHPA,Buchenavia,parvifolia,Combretaceae,31
BUCHPU,Buchenavia,punctata,Combretaceae,9
BUNCAR,Bunchosia,argentea,Malpighiaceae,84
BUNCBL,Bunchosia,blanquita,Malpighiaceae,39
BUNCMY,Bunchosia,myrt,Malpighiaceae,86
BYRSJU,Byrsonima,juanito,Malpighiaceae,21
BYRSPU,Byrsonima,putumayensis,Malpighiaceae,72
CABRCA,Cabralea,canjerana,Meliaceae,120
CALLCA,Calliandra,carbonaria,Fabaceae,107
CALOBR,Calophyllum,brasiliense,Clusiaceae,27
CALCME,Calycophyllum,megistocaulum,Rubiaceae,225
CALPBI,Calyptranthes,bipennis,Myrtaceae,146
CALPGC,Calyptranthes,grancauli,Myrtaceae,3
CALPGI,Calyptranthes,gigante,Myrtaceae,11
CALPLO,Calyptranthes,loraine,Myrtaceae,1
CALPPE,Calyptranthes,pelopalida,Myrtaceae,11
CALPPL,Calyptranthes,plicata,Myrtaceae,104
CALPPT,Calyptranthes,punteada,Myrtaceae,14
CALPRU,Calyptranthes,ruiziana,Myrtaceae,167
CALPSE,Calyptranthes,sedosa,Myrtaceae,164
CALPSP,Calyptranthes,speciosa,Myrtaceae,132
CALYPS,Calyptranthes,pseudospeciosa,Myrtaceae,32
CALYPU,Calyptranthes,punctote,Myrtaceae,89
CAMPLI,Campomanesia,lineatifolia,Myrtaceae,45
CAPIDE,Capirona,decorticans,Rubiaceae,51
CAPPDE,Capparis,detonsa,Capparaceae,152
CAPPOS,Capparis,osmantha,Capparaceae,31
CAPPSO,Capparis,sola,Capparaceae,663
CARAMY,Caraipa,myricoides_aff.,Clusiaceae,44
CARIBR,Carica,brillante,Caricaceae,14
CARIMI,Carica,microcarpa,Caricaceae,6
CARPLO,Carpotroche,longifolia,Flacourtiaceae,642
CARYGL,Caryocar,glabrum,Caryocaraceae,10
CAROCH,Caryodaphnopsis,chica,Lauraceae,10
CAROFO,Caryodaphnopsis,fosteri,Lauraceae,7
CAROTO,Caryodaphnopsis,tomentosa,Lauraceae,23
CARDOR,Caryodendron,orinocense,Euphorbiaceae,199
CASEAC,Casearia,aculeata,Flacourtiaceae,9
CASEAE,Casearia,arborea,Flacourtiaceae,103
CASEAR,Casearia,argut,Flacourtiaceae,67
CASEBR,Casearia,bracteifera,Flacourtiaceae,75
CASEJA,Casearia,javitensis,Flacourtiaceae,240
CASENI,Casearia,nigricans,Flacourtiaceae,160
CASEPF,Casearia,prunifolia,Flacourtiaceae,193
CASEPI,Casearia,pitumba,Flacourtiaceae,34
CASEPR,Casearia,prunicerob,Flacourtiaceae,337
CASESP,Casearia,sylvepub,Flacourtiaceae,21
CASES2,Casearia,sp.nov.,Flacourtiaceae,2
CASESY,Casearia,sylvestris,Flacourtiaceae,64
CASEUL,Casearia,ulmifolia,Flacourtiaceae,88
CASSCO,Cassia,cowanii,Fabaceae-caesalpinioideae,6
CASTUL,Castilla,ulei,Moraceae,174
CATHAC,Cathedra,acuminata,Olacaceae,19
CECRAC,Cecropia,acer,Cecropiaceae,3
CECREN,Cecropia,engleriana,Cecropiaceae,16
CECRFI,Cecropia,ficifolia,Cecropiaceae,395
CECRHE,Cecropia,herthae,Cecropiaceae,50
CECRMA,Cecropia,marginalis,Cecropiaceae,10
CECRSC,Cecropia,sciadophylla,Cecropiaceae,512
CEDAFI,Cedrela,fissilis,Meliaceae,77
CEDAOD,Cedrela,odorata,Meliaceae,1
CEDGCA,Cedrelinga,cateniformis,Fabaceae,40
CEIBPE,Ceiba,pentandra,Bombacaceae,6
CELTSC,Celtis,schippii,Ulmaceae,144
CENTLO,Centropogon,loretensis,Campanulaceae,11
CESTME,Cestrum,megalophyllum,Solanaceae,27
CESTSI,Cestrum,silvaticum,Solanaceae,17
CESTTO,Cestrum,tomentosum,Solanaceae,5
CHAMPI,Chamaedorea,pinnatifrons,Arecaceae,134
CHEICO,Cheiloclinium,cognatum,Hippocrateaceae,27
CHIMGL,Chimarrhis,glabriflora,Rubiaceae,9
CHIMJA,Chimarrhis,jacob,Rubiaceae,44
CHIOOP,Chionanthus,opipulv,Oleaceae,45
CHLO2S,Chlorocardium,2subopo,Lauraceae,11
CHOMCO,Chomelia,comun,Rubiaceae,143
CHRCFR,Chrysochlamys,fragil,Clusiaceae,9
CHRCHU,Chrysochlamys,hugo,Clusiaceae,4
CHRCME,Chrysochlamys,membranacea,Clusiaceae,59
CHRCTE,Chrysochlamys,tenuifolia,Clusiaceae,52
CHRYAM,Chrysophyllum,amazonicum,Sapotaceae,19
CHRYAR,Chrysophyllum,argenteum,Sapotaceae,206
CHRYBA,Chrysophyllum,baeo,Sapotaceae,14
CHRYCU,Chrysophyllum,cuneifolium,Sapotaceae,112
CHRYMA,Chrysophyllum,manaosense,Sapotaceae,17
CHRYMI,Chrysophyllum,minor,Sapotaceae,11
CHRYTR,Chrysophyllum,tremi,Sapotaceae,12
CHRYVE,Chrysophyllum,venezuelanense,Sapotaceae,8
CINNNA,Cinnamomum,napoense,Lauraceae,18
CINNOP,Cinnamomum,oppretic,Lauraceae,44
CINNPE,Cinnamomum,peloimpreso,Lauraceae,3
CINNTR,Cinnamomum,triplinerve,Lauraceae,2
CITHPO,Citharexylum,poeppigii,Verbenaceae,1
CLARBI,Clarisia,biflora,Moraceae,92
CLARRA,Clarisia,racemosa,Moraceae,23
CLAVDE,Clavija,delgada,Theophrastaceae,3
CLAVPR,Clavija,procera,Theophrastaceae,72
CLAVWE,Clavija,weberbaueri,Theophrastaceae,23
CLIDDI,Clidemia,dimorphica,Melastomataceae,18
COCCCO,Coccoloba,cordi,Polygonaceae,2
COCCDE,Coccoloba,densifrons,Polygonaceae,327
COCCGI,Coccoloba,gigante,Polygonaceae,94
COCCJI,Coccoloba,jill,Polygonaceae,2
COCCLA,Coccoloba,lancifuzz,Polygonaceae,6
COCCMO,Coccoloba,mollis,Polygonaceae,28
COCCNI,Coccoloba,ninfi,Polygonaceae,6
COCCPA,Coccoloba,papel,Polygonaceae,48
COCCPB,Coccoloba,puntoblanco,Polygonaceae,10
COCCPU,Coccoloba,puntonegro,Polygonaceae,13
COCCSU,Coccoloba,subscab,Polygonaceae,3
COLUAR,Colubrina,arbol,Rhamnaceae,9
COMPCA,Compsoneura,capitellata,Myristicaceae,113
COMPUL,Compsoneura,ulei,Myristicaceae,54
CONCRH,Conceveiba,rhytidocarpa,Euphorbiaceae,496
CORDBU,Cordia,buladent,Boraginaceae,5
CORDCH,Cordia,chamissoniana,Boraginaceae,18
CORDCO,Cordia,collococca,Boraginaceae,62
CORDHE,Cordia,hebeclada,Boraginaceae,9
CORDJO,Cordia,joli,Boraginaceae,47
CORDKI,Cordia,kingstoniana,Boraginaceae,29
CORDNO,Cordia,nodosa,Boraginaceae,1027
CORDUC,Cordia,ucayaliensis,Boraginaceae,67
COUEOB,Couepia,obovata,Chrysobalanaceae,38
COUEPA,Couepia,parillo,Chrysobalanaceae,23
COUTGU,Couratari,guianensis,Lecythidaceae,21
COURGU,Couroupita,guianensis,Lecythidaceae,6
COSSOR,Coussapoa,orthoneura,Cecropiaceae,23
COUSBR,Coussarea,brevi,Rubiaceae,12
COUSCE,Coussarea,cephaeloides,Rubiaceae,24
COUSDU,Coussarea,dulcifolia,Rubiaceae,67
COUSKL,Coussarea,klugii,Rubiaceae,21
CREMCA,Cremastosperma,cauliflorum,Annonaceae,48
CREMGR,Cremastosperma,gracilipes,Annonaceae,50
CREPGO,Crepidospermum,goudotianum,Burseraceae,1
CREPRH,Crepidospermum,rhoifolium,Burseraceae,196
CRYPNO,Cryptocarya,aschersoniana,Lauraceae,430
CUPACI,Cupania,cinerea,Sapindaceae,24
CUPALI,Cupania,livida,Sapindaceae,106
CYATLA,Cyathea,lasiosora,Cyatheaceae,257
CYATPU,Cyathea,pungens,Cyatheaceae,8
CYBIPE,Cybianthus,perseon,Myrsinaceae,23
CYMBCO,Cymbopetalum,coriaceum,Annonaceae,43
CYPHME,Cyphomandra,membra,Solanaceae,11
CYPHPI,Cyphomandra,pilosa,Solanaceae,29
DACRGO,Dacryodes,gorda,Burseraceae,88
DACRPE,Dacryodes,peruviana,Burseraceae,130
DALBNI,Dalbergia,nigrescens,Fabaceae-papilionoideae,10
DENBBO,Dendrobangia,boliviana,Icacinaceae,74
DENDAR,Dendropanax,arboreus,Araliaceae,83
DENDCA,Dendropanax,caucanus_cf.(grande),Araliaceae,141
DENDQU,Dendropanax,querceti,Araliaceae,490
DIALGU,Dialium,guianense,Fabaceae-caesalpinioideae,92
DILKPA,Dilkea,parviflora,Passifloraceae,322
DILKPS,Dilkea,pasillo,Passifloraceae,1
DIOSAR,Diospyros,artanthifolia,Ebenaceae,17
DIOSCR,Diospyros,capreifolia,Ebenaceae,37
DIOSEK,Diospyros,ekodul,Ebenaceae,24
DIOSPS,Diospyros,pseudoxylopia,Ebenaceae,52
DIOSSU,Diospyros,subrotata,Ebenaceae,12
DIPOCU,Diploon,cuspidatum,Sapotaceae,1
DIPLPT,Diplotropis,pterochic,Fabaceae,2
DIPLPU,Diplotropis,purpurea,Fabaceae,10
DISCGU,Discophora,guianensis,Icacinaceae,204
DRYPAM,Drypetes,amazonica,Euphorbiaceae,124
DRYPVA,Drypetes,variabilis,Euphorbiaceae,75
DUGUCO,Duguetia,cortaten,Annonaceae,31
DUGUHA,Duguetia,hadrantha,Annonaceae,392
DUGUQU,Duguetia,quitarensis,Annonaceae,169
DUGUSP,Duguetia,spixiana,Annonaceae,98
DUGUSU,Duguetia,surinamensis,Annonaceae,19
DULACA,Dulacia,candida,Olacaceae,107
DUROES,Duroia,eriopila,Rubiaceae,137
DUROHI,Duroia,hirsuta,Rubiaceae,272
DUSSDE,Dussia,delgada,Fabaceae,17
DUSSPE,Dussia,pelosblancos,Fabaceae,16
DUSSTE,Dussia,tessmannii,Fabaceae,27
ECCLAN,Ecclinusa,angostaestipul,Sapotaceae,10
ECCLGU,Ecclinusa,guianensis,Sapotaceae,54
ELAEGL,Elaeoluma,glabrescens,Sapotaceae,18
ENDLBR,Endlicheria,bracteata,Lauraceae,53
ENDLBU,Endlicheria,burbujas,Lauraceae,16
ENDLCA,Endlicheria,canescens,Lauraceae,2
ENDLFA,Endlicheria,falsadyso,Lauraceae,33
ENDLKR,Endlicheria,krukovii,Lauraceae,19
ENDLSE,Endlicheria,sericea,Lauraceae,22
ENDLS2,Endlicheria,sericea_aff.,Lauraceae,94
ENDLSP,Endlicheria,sp.nov.,Lauraceae,270
ENDLTE,Endlicheria,tessmannii,Lauraceae,76
ENDLTS,Endlicheria,tschudyana,Lauraceae,502
ENTEBA,Enterolobium,barnebianum,Fabaceae-mimosoideae,2
ERIOGL,Eriotheca,globosa,Bombacaceae,5
ERISUN,Erisma,uncinatum,Vochysiaceae,6
ERYNAM,Erythrina,amazonica,Fabaceae-papilionoideae,2
ERTHMA,Erythrochiton,margot,Rutaceae,8
ERYOGR,Erythroxylum,gracilipes,Erythroxylaceae,14
ERYOMA,Erythroxylum,macrophyllum_var.ecuadorense,Erythroxylaceae,114
ERYOSQ,Erythroxylum,squamatum,Erythroxylaceae,8
ERYTMA,Erythroxylum,macrophyllum_var.macrocnemium,Erythroxylaceae,64
ESCHAN,Eschweilera,andina,Lecythidaceae,21
ESCHBR,Eschweilera,bracteosa,Lecythidaceae,186
ESCHCO,Eschweilera,coriacea,Lecythidaceae,1345
ESCHGD,Eschweilera,gigandin,Lecythidaceae,3
ESCHGG,Eschweilera,gigantea,Lecythidaceae,52
ESCHGI,Eschweilera,giga,Lecythidaceae,505
ESCHGR,Eschweilera,gigarco,Lecythidaceae,11
ESCHJU,Eschweilera,juruensis,Lecythidaceae,11
ESCHRU,Eschweilera,rufifolia,Lecythidaceae,204
ESENAM,Esenbeckia,amazonica,Rutaceae,187
ESENLI,Esenbeckia,lisa,Rutaceae,15
EUGECO,Eugenia,coffeifolia_aff.,Myrtaceae,65
EUGEDE,Eugenia,deltocrespis_aff.,Myrtaceae,85
EUGEEG,Eugenia,egensis,Myrtaceae,14
EUGEFE,Eugenia,feijoi,Myrtaceae,83
EUGEFL,Eugenia,florida,Myrtaceae,714
EUGEGR,Eugenia,graneschweil,Myrtaceae,44
EUGEGV,Eugenia,granvariable,Myrtaceae,95
EUGELA,Eugenia,lambertiana,Myrtaceae,21
EUGEMA,Eugenia,margot,Myrtaceae,56
EUGEMC,Eugenia,macrocalyx,Myrtaceae,56
EUGEMI,Eugenia,minicomun,Myrtaceae,598
EUGEMR,Eugenia,mimus_aff._rojo,Myrtaceae,75
EUGEMV,Eugenia,mimus_aff._verde,Myrtaceae,59
EUGEMN,Eugenia,membranegra,Myrtaceae,4
EUGEMU,Eugenia,multirimosa,Myrtaceae,117
EUGEMY,Eugenia,myrobalana_aff.,Myrtaceae,95
EUGEPA,Eugenia,panosadorada,Myrtaceae,40
EUGERA,Eugenia,ramamarilla,Myrtaceae,30
EUGESC,Eugenia,schunkei,Myrtaceae,260
EUGESD,Eugenia,smedcostadorada,Myrtaceae,24
EUGESS,Eugenia,smedcostacrasa,Myrtaceae,6
EUPLOC,Euplassa,occidentalis_cf.,Proteaceae,6
EUTEPR,Euterpe,precatoria,Arecaceae,33
FARACA,Faramea,capillipes,Rubiaceae,633
FARAGL,Faramea,glandulosa,Rubiaceae,16
FARAMU,Faramea,multiflora,Rubiaceae,28
FARAQU,Faramea,quinqueflora,Rubiaceae,268
FARATO,Faramea,torquata,Rubiaceae,45
FARAUN,Faramea,uncinata,Rubiaceae,16
FICUBA,Ficus,bajio,Moraceae,3
FICUBR,Ficus,brevibracteata,Moraceae,3
FICUCA,Ficus,casapi,Moraceae,5
FICUGO,Ficus,gomelleira,Moraceae,2
FICUMA,Ficus,maxima,Moraceae,17
FICUMI,Ficus,minimax,Moraceae,1
FICUNY,Ficus,nymphaeifolia,Moraceae,2
FICUOV,Ficus,oveja,Moraceae,1
FICUPE,Ficus,perez-arbelaezii,Moraceae,4
FICUPI,Ficus,piresiana,Moraceae,7
FICUTO,Ficus,tonduzii,Moraceae,11
FICUTR,Ficus,trigona,Moraceae,5
FICUUR,Ficus,ursina,Moraceae,1
FROEDI,Froesia,diffusa,Quiinaceae,5
GARCBR,Garcinia,brasiliensis,Clusiaceae,76
GARCMA,Garcinia,madruno,Clusiaceae,4
